"ResponseId","cond","ans","dir","ctg","stiLabel"
"R_2eaL0OOZICx4gdx","Finished (static)",1,"Decreasing","Zero","A_dec"
"R_3sdys38D5uDNyDr","Unfinished (static)",-1,"Increasing","Zero","A_inc"
"R_31EHL92ZSq8b5mW","Finished (static)",0,"Decreasing","Zero","A_dec"
"R_2wdgdnQsqa7Vdd6","Finished (static)",-1,"Decreasing","Zero","A_dec"
"R_2SoE4Fv4NWUsEme","Finished (static)",1,"Decreasing","Zero","A_dec"
"R_1jIeWbDo9ZTz0i4","Finished (static)",1,"Decreasing","Zero","A_dec"
"R_sSxtD94B9vdz6rT","Unfinished (static)",2,"Increasing","Zero","A_inc"
"R_3HYvcJMyabLCuAU","Finished (static)",1,"Decreasing","Zero","A_dec"
"R_RlickAPiJcz22mR","Unfinished (static)",1,"Decreasing","Zero","A_dec"
"R_rpseHEiZTcDMVbP","Finished (static)",2,"Decreasing","Zero","A_dec"
"R_6l3FoAUa5X6CKaZ","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_0olBtKl8r1IM4qR","Unfinished (static)",2,"Decreasing","Zero","A_dec"
"R_3ELvDRWywtjRNnX","Finished (static)",2,"Decreasing","Zero","A_dec"
"R_2EGztxxfcOtmczR","Unfinished (static)",0,"Decreasing","Zero","A_dec"
"R_yJ7FjrFoFCuTOcp","Unfinished (static)",-2,"Decreasing","Zero","A_dec"
"R_2bWAfVItQcka7L3","Unfinished (static)",-2,"Decreasing","Zero","A_dec"
"R_3pbWyNP6RUrykUA","Unfinished (static)",0,"Decreasing","Zero","A_dec"
"R_3m91Ki74XXt516H","Finished (static)",2,"Decreasing","Zero","A_dec"
"R_3rOFFnrgvz64zPJ","Finished (static)",2,"Increasing","Zero","A_inc"
"R_3CZcAt2J9lsiCOi","Finished (static)",1,"Increasing","Zero","A_inc"
"R_301oKWUyc38my9W","Unfinished (static)",1,"Increasing","Zero","A_inc"
"R_0MTH2mGMRijdJcd","Finished (static)",-3,"Increasing","Zero","A_inc"
"R_21pvxw7ZsWEINiH","Finished (static)",0,"Increasing","Zero","A_inc"
"R_3jVbq99xrEF5u8v","Finished (static)",1,"Increasing","Zero","A_inc"
"R_1IGgJj829fV9PHv","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_1qh0PnisjzbWWyK","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_2amcOnXwdaE3DPz","Finished (static)",0,"Increasing","Zero","A_inc"
"R_1hEy6WFiGmbKBzW","Finished (static)",-2,"Increasing","Zero","A_inc"
"R_VQBwBWvLSuswvgl","Finished (static)",-2,"Increasing","Zero","A_inc"
"R_3EEYmoJZ5WJwHYL","Finished (static)",1,"Increasing","Zero","A_inc"
"R_1oFPJpQhhOovfrT","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_3feYG32WFuoDGht","Unfinished (static)",-1,"Increasing","Zero","A_inc"
"R_dbz74Q32nMVxDr3","Finished (static)",0,"Increasing","Zero","A_inc"
"R_33jUXSuFJ2nd9T7","Unfinished (static)",-1,"Increasing","Zero","A_inc"
"R_1IoBGAAcaMMuUSu","Unfinished (static)",-1,"Increasing","Zero","A_inc"
"R_1GKvJwSuUkAqhNS","Finished (static)",0,"Increasing","Zero","A_inc"
"R_2eXcVGWQDDLnBB0","Finished (static)",2,"Decreasing","Zero","A_dec"
"R_1pE8xWCyyBgdeCp","Unfinished (static)",1,"Increasing","Zero","A_inc"
"R_6JeT95fTdcBl4el","Unfinished (static)",2,"Increasing","Zero","A_inc"
"R_2afdV2tL5GRxLRf","Finished (static)",0,"Decreasing","Zero","A_dec"
"R_3kNfiYim6uxShhg","Finished (static)",2,"Decreasing","Zero","A_dec"
"R_3hhFLhLV6EolfeP","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_1gcOkSruU5nb9tG","Finished (static)",-2,"Decreasing","Zero","A_dec"
"R_SAwgAwSNSRaOxah","Unfinished (static)",1,"Increasing","Zero","A_inc"
"R_3EauxN31agdoonk","Finished (static)",-1,"Decreasing","Zero","A_dec"
"R_3oRxEXpxg09dAnP","Finished (static)",0,"Increasing","Zero","A_inc"
"R_5j278m5SBCpdhTP","Unfinished (static)",2,"Increasing","Zero","A_inc"
"R_C7eNyCr3VKdnzs5","Finished (static)",0,"Decreasing","Zero","A_dec"
"R_OBGqDSRJhq6zKRr","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_1o4QvLRpUE626ub","Unfinished (static)",2,"Decreasing","Zero","A_dec"
"R_26i3YvbMu1gYczl","Unfinished (static)",-1,"Decreasing","Zero","A_dec"
"R_3Uj4MNG0BYXhhy9","Finished (static)",2,"Increasing","Zero","A_inc"
"R_12hyE6teOtBs5nM","Unfinished (static)",2,"Decreasing","Zero","A_dec"
"R_1gzJBVF9wHwSSAm","Finished (static)",0,"Decreasing","Zero","A_dec"
"R_1pxKROPWxGjwNFQ","Unfinished (static)",0,"Decreasing","Zero","A_dec"
"R_2dLnQzoBZgWfxhV","Unfinished (static)",1,"Increasing","Zero","A_inc"
"R_1mD9CKEhgs2c8CQ","Finished (static)",-2,"Decreasing","Zero","A_dec"
"R_1dpkdzgMnj3Yjex","Finished (static)",1,"Increasing","Zero","A_inc"
"R_2Vl31uJw2F7idj0","Finished (static)",-2,"Decreasing","Zero","A_dec"
"R_12LnNTJrvhXk6eM","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_XHO3addDcuTnabD","Unfinished (static)",0,"Decreasing","Zero","A_dec"
"R_1QFK8xC0EjgJIfF","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_3OqPt92jyfkKufs","Finished (static)",1,"Increasing","Zero","A_inc"
"R_1H1PDm4kfAk82P0","Finished (static)",1,"Decreasing","Zero","A_dec"
"R_1HeEC3mXDUWPa29","Unfinished (static)",-2,"Decreasing","Zero","A_dec"
"R_1FR32LcAiYCZTaA","Unfinished (static)",-1,"Decreasing","Zero","A_dec"
"R_24kN6eRAE10gFoW","Unfinished (static)",-1,"Increasing","Zero","A_inc"
"R_1jlFOHBTzva0ZDI","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_scfLHiCd6ort3j3","Finished (static)",0,"Decreasing","Zero","A_dec"
"R_3lSPDc3T72FOtyb","Finished (static)",0,"Increasing","Zero","A_inc"
"R_3JEOmWOGjphf6Km","Finished (static)",2,"Increasing","Zero","A_inc"
"R_3nucFn9WHViUb6r","Unfinished (static)",1,"Decreasing","Zero","A_dec"
"R_3dJNCHYftRs1O6H","Finished (static)",1,"Increasing","Zero","A_inc"
"R_125dSPriRoE3s0n","Unfinished (static)",0,"Decreasing","Zero","A_dec"
"R_WDO7Kqg2QgStQd3","Finished (static)",-1,"Increasing","Zero","A_inc"
"R_1qVtyS9IAWIMsWC","Unfinished (static)",-2,"Increasing","Zero","A_inc"
"R_2PmL74iFSEzxVPI","Finished (static)",0,"Increasing","Zero","A_inc"
"R_2wazrp9uHjJScoH","Unfinished (static)",-1,"Decreasing","Zero","A_dec"
"R_1l3lgLl43ro3bUm","Unfinished (static)",1,"Increasing","Zero","A_inc"
"R_b2yWjxjccEScaSR","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_2VBVBt8t5TMKHtK","Finished (static)",1,"Decreasing","Zero","A_dec"
"R_21Gp6Xbpa2I9le5","Unfinished (static)",1,"Decreasing","Zero","A_dec"
"R_2Cvb2GMe7QvitaH","Unfinished (static)",0,"Decreasing","Zero","A_dec"
"R_9mhiPrUcNdrhtC1","Finished (static)",0,"Increasing","Zero","A_inc"
"R_3g0GTc3WnWyv8MG","Finished (static)",-1,"Decreasing","Zero","A_dec"
"R_r7KDoMlknIFD6fv","Finished (static)",0,"Increasing","Zero","A_inc"
"R_302lnbNTwNKeAwM","Finished (static)",-1,"Decreasing","Zero","A_dec"
"R_2wsJ4X7UJyAGnoQ","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_3lAysjG5MG9RwAh","Unfinished (static)",1,"Increasing","Zero","A_inc"
"R_b3GIDFxyfLpRWUN","Finished (static)",1,"Decreasing","Zero","A_dec"
"R_xmRpEYLicCdQcMN","Finished (static)",3,"Decreasing","Zero","A_dec"
"R_3R306UPY1IIdWHE","Unfinished (static)",2,"Increasing","Zero","A_inc"
"R_3RyBFrqmoilqLJY","Finished (static)",0,"Increasing","Zero","A_inc"
"R_3jdqOSpYhXml64I","Finished (static)",2,"Decreasing","Zero","A_dec"
"R_3oSKkdaFFvDHOxT","Unfinished (static)",-2,"Increasing","Zero","A_inc"
"R_3j6G4KBMhN27MtL","Finished (static)",0,"Increasing","Zero","A_inc"
"R_26lm3SkWeIt8Z1i","Finished (static)",0,"Increasing","Zero","A_inc"
"R_3M54sOn75JaefqJ","Finished (static)",0,"Decreasing","Zero","A_dec"
"R_2QyekX5ylLh4t9I","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_R9oKRqIEkkQ1RbX","Unfinished (static)",-2,"Decreasing","Zero","A_dec"
"R_3nVDu35AUz4xmBp","Unfinished (static)",1,"Increasing","Zero","A_inc"
"R_2TObcRsVyxmBEQ0","Unfinished (static)",0,"Decreasing","Zero","A_dec"
"R_DcPxtUggNRfN3GN","Finished (static)",-3,"Increasing","Zero","A_inc"
"R_2xW3WCxYRK7RJ29","Finished (static)",3,"Increasing","Zero","A_inc"
"R_1FP8cZwwRYSM5L8","Unfinished (static)",1,"Increasing","Zero","A_inc"
"R_3prspZdeLv5icSO","Unfinished (static)",-1,"Decreasing","Zero","A_dec"
"R_2CBLRQrfV5xqkNR","Unfinished (static)",0,"Decreasing","Zero","A_dec"
"R_31Zx7odW0bXwUxy","Finished (static)",-3,"Increasing","Zero","A_inc"
"R_2al4UzIOuVYvL9k","Finished (static)",1,"Decreasing","Zero","A_dec"
"R_3HuFpzQ6AwKuiZE","Finished (static)",1,"Decreasing","Zero","A_dec"
"R_3jUwo05IImgddmp","Unfinished (static)",0,"Decreasing","Zero","A_dec"
"R_1MKDQBYqdL5hfHr","Finished (static)",0,"Decreasing","Zero","A_dec"
"R_26eDWjgpGdAiks3","Finished (static)",0,"Increasing","Zero","A_inc"
"R_3qlkIuZ90NudVPB","Unfinished (static)",1,"Decreasing","Zero","A_dec"
"R_pK2tVwTXDRdeych","Finished (static)",0,"Increasing","Zero","A_inc"
"R_9ojDpjcAPfJigBH","Finished (static)",0,"Increasing","Zero","A_inc"
"R_eKVRGPkzzR05Vtv","Finished (static)",1,"Increasing","Zero","A_inc"
"R_1q3CV13wrXPGtjU","Finished (static)",2,"Increasing","Zero","A_inc"
"R_1jYSGDhFwToeOXv","Finished (static)",2,"Decreasing","Zero","A_dec"
"R_2BsOJRf74f4Kpoj","Unfinished (static)",0,"Decreasing","Zero","A_dec"
"R_7R1vl3qzP0ChEw9","Finished (static)",1,"Increasing","Zero","A_inc"
"R_3eysOr16o6Hck80","Finished (static)",3,"Increasing","Zero","A_inc"
"R_2Tu8vhec4Pv9JEI","Unfinished (static)",-1,"Increasing","Zero","A_inc"
"R_ThBgjcr5rhI1b21","Finished (static)",-2,"Increasing","Zero","A_inc"
"R_sckx21ofQgqv0CB","Finished (static)",1,"Increasing","Zero","A_inc"
"R_33qjTRggdQv9u3t","Finished (static)",0,"Increasing","Zero","A_inc"
"R_1QMeV7BLPN16DGp","Unfinished (static)",0,"Increasing","Zero","A_inc"
"R_2SiatEdRDSe7XUQ","Unfinished (static)",-1,"Decreasing","Zero","A_dec"
"R_3emMpVYW53PsenF","Finished (static)",0,"Increasing","Zero","A_inc"
"R_3lsl4BwvGdtEkIO","Unfinished (static)",-1,"Increasing","Zero","A_inc"
"R_6Kbew6CiVQ5JLxv","Finished (static)",0,"Decreasing","Zero","A_dec"
"R_6ExAdj98l4OTpJf","Unfinished (static)",2,"Increasing","Zero","A_inc"
"R_0iTPKMm697yZvuF","Unfinished (static)",-2,"Decreasing","Zero","A_dec"
"R_1F2svZ5IfpHKr9c","Unfinished (static)",1,"Decreasing","Zero","A_dec"
"R_1rH977Tuw5lVgdL","Finished (static)",2,"Increasing","Zero","A_inc"
"R_1rIknzxn8MzKwPx","Unfinished (static)",1,"Decreasing","Zero","A_dec"
"R_2VaV6P7de00Afbz","Finished (static)",0,"Increasing","Zero","A_inc"
"R_3KORpbe7bmiN5Pg","Finished (static)",1,"Increasing","Zero","A_inc"
"R_3Du5XhURW4jYdtg","Unfinished (static)",3,"Decreasing","Zero","A_dec"
"R_3lDYHZmHUGmkOwL","Unfinished (static)",-1,"Decreasing","Zero","A_dec"
"R_1dy2RQSPJVbhUaD","Unfinished (static)",1,"Increasing","Zero","A_inc"
"R_27seyCgB5WpjghY","Finished (static)",1,"Decreasing","Zero","A_dec"
"R_XiGS0CrHgtMhQ1r","Unfinished (static)",0,"Decreasing","Zero","A_dec"
"R_25X67LQ9mtbm5kx","Finished (static)",-1,"Decreasing","Zero","A_dec"
"R_3oGSdZqzs1AaxPu","Finished (static)",2,"Decreasing","Zero","A_dec"
"R_1kIxJwA7XEGVKKe","Finished (static)",0,"Increasing","Zero","A_inc"
"R_Y5rXAYPTg1AKEUx","Unfinished (static)",3,"Increasing","Zero","A_inc"
"R_1r6RbUPGlUZ5fO4","Finished (static)",2,"Increasing","Zero","A_inc"
"R_3kA32w1dSovSmWs","Finished (static)",-1,"Decreasing","Zero","A_dec"
