trLetter,trID,trName,condition,day1,day2,day3,day4,day5,day1_c,day2_c,day3_c,day4_c,day5_c,P(E|C),P(E|-C),delta-P,contiguity,exp1_mean,exp1_sd,exp2_mean,exp2_sd
A,1,alpha,yes,4,3,2,1,0,2,2,2,2,2,0.25,0.25,0,strong,-9.18,31.42,-1.26,35.19
B,2,beta,yes,8,6,4,2,0,1,2,3,2,2,0.5,0.25,0.25,strong,-27.13,33.5,-46.6,30.15
C,3,gamma,yes,12,9,6,3,0,3,2,1,2,2,0.75,0.25,0.5,strong,-47.55,35.02,-79.43,13.22
D,8,lambda,yes,16,12,8,4,0,2,1,1,3,3,1,0.25,0.75,strong,-67.5,30.49,-89.63,14.03
E,4,delta,yes,0,1,2,3,4,2,2,3,2,1,0.25,0.25,0,weak,18.26,33.48,21.77,31.4
F,5,epsilon,yes,0,2,4,6,8,1,3,1,3,2,0.5,0.25,0.25,weak,-8.84,39.72,-10.86,38.26
G,6,omega,yes,0,3,6,9,12,2,1,3,1,3,0.75,0.25,0.5,weak,-7.2,53.38,-33.26,35.79
H,7,sigma,yes,0,4,8,12,16,2,3,1,2,2,1,0.25,0.75,weak,-26.84,55.76,-53.46,40.66
I,9,kappa,yes,8,6,4,2,0,4,4,4,4,4,0.5,0.5,0,strong,-8.82,25.36,-25.14,24.06
J,10,zeta,yes,12,9,6,3,0,6,6,6,6,6,0.75,0.75,0,strong,-26.82,36.89,-36.49,24.78
K,13,psi,yes,16,12,8,4,0,8,8,8,8,8,1,1,0,strong,-27.34,34.65,-45.46,32.6
L,11,theta,yes,0,2,4,6,8,4,4,4,4,4,0.5,0.5,0,weak,15.74,23.93,13.29,16.04
M,12,omicron,yes,0,3,6,9,12,6,6,6,6,6,0.75,0.75,0,weak,22.18,36.46,23.49,22.38
N,14,xi,yes,0,4,8,12,16,8,8,8,8,8,1,1,0,weak,22.95,41.95,26.26,22.53
O,15,chi,yes,2,2,2,2,2,2,2,2,2,2,0.25,0.25,0,random,2.89,27.2,5.91,21.44
P,16,tau,yes,4,4,4,4,4,4,4,4,4,4,0.5,0.5,0,random,1.42,14.75,1.57,21.69
Q,17,iota,yes,6,6,6,6,6,6,6,6,6,6,0.75,0.75,0,random,-1.97,16.71,-9.14,10.47
R,18,mu,yes,8,8,8,8,8,8,8,8,8,8,1,1,0,random,-1.18,16.25,-7.86,12.14
